# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1274
#@/user_id	e56f9083-50b5-461e-8d0a-678f2b113e81
a 	啊	c=1 d=0.00918669 t=1274
yi jing 	已經	c=4 d=0.327458 t=1274
yi kai shi 	一開始	c=1 d=0.0430669 t=1274
yi xia 	一下	c=0 d=0.1 t=1250
yi xie 	一些	c=5 d=0.523902 t=1274
yi xue 	醫學	c=2 d=0.715093 t=1274
yi yi 	意義	c=2 d=1.21777 t=1274
yi zhi 	一致	c=0 d=0.0644036 t=1274
yi zhi lian xu 	一致連續	c=1 d=0.647265 t=1274
yi zhong 	一種	c=2 d=0.701999 t=1274
yin li 	引理	c=1 d=0.0294518 t=1274
yin wei 	因爲	c=3 d=0.935572 t=1274
yin ying 	陰影	c=1 d=0.0285814 t=1274
yin yong 	引用	c=1 d=0.346456 t=1274
yin zi 	因子	c=1 d=0.0117959 t=1274
ying gai 	應該	c=4 d=0.233843 t=1274
ying yu 	英語	c=1 d=0.323033 t=1274
yong 	用	c=4 d=0.333633 t=1274
you 	佑	c=2 d=0.612928 t=1274
you 	又	c=1 d=0.822835 t=1274
you 	有	c=12 d=2.75141 t=1274
you 	由	c=2 d=1.68325 t=1274
you guan 	有關	c=2 d=1.15428 t=1274
you jian 	郵件	c=1 d=0.209088 t=1274
you jie 	有界	c=1 d=0.609571 t=1274
you xian zhi 	有限制	c=1 d=0.299692 t=1274
you xie 	有些	c=1 d=0.111359 t=1274
you xu 	有序	c=5 d=1.91983 t=1274
you yu 	優於	c=1 d=0.88692 t=1274
yu 	於	c=1 d=0.465334 t=1274
yu 	與	c=8 d=5.33838 t=1274
yu dao 	遇到	c=3 d=0.312943 t=1274
yu ju 	語句	c=1 d=0.100259 t=1274
yuan 	元	c=1 d=0.304221 t=1274
yuan cheng 	遠程	c=1 d=0.332871 t=1274
yuan li 	原理	c=1 d=0.0239928 t=1274
yue du 	閱讀	c=2 d=0.246534 t=1274
za 	咋	c=1 d=0.97531 t=1274
zai 	再	c=3 d=0.626879 t=1274
zai 	在	c=16 d=2.03511 t=1274
ze 	則	c=14 d=5.40723 t=1274
zeng jia 	增加	c=1 d=0.186374 t=1274
zhan kai 	展開	c=2 d=0.522465 t=1274
zhang 	張	c=1 d=0.29523 t=1274
zhang 	章	c=3 d=0.782371 t=1274
zhang jie 	章節	c=2 d=0.0846718 t=1274
zhao 	找	c=1 d=0.0642483 t=1274
zhao yang 	趙陽	c=2 d=0.313698 t=1274
zhe 	這	c=1 d=0.0746459 t=1274
zhe ge 	這個	c=1 d=0.106992 t=1274
zhe jiu shi 	這就是	c=1 d=0.143704 t=1274
zhe xie 	這些	c=2 d=0.253512 t=1274
